PatientAge,bmdtest_height,bmdtest_weight,bmdtest_tscore_fn,PatientGender,parentbreak,ptunsteady,whereliv,education,alcohol,wasfractdue2fall,ptfall,fxworried,notworking,marital,arthritis,cancer,diabetes,heartdisease,respdisease,howbreak,hip,ankle,clavicle,elbow,femur,spine,wrist,shoulder,tibfib
68,151,72,-0.5,1,0,0,2,2,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,165.1,64.9,-1.4,1,2,0,2,4,0,1,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
61,153,48.9,-2.5,1,0,0,1,5,0,1,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,164,78.1,-2.5,2,0,1,2,1,0,1,0,2,1,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
72,168,56.7,-1.8,1,0,1,2,3,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
67,162,91.9,-1.2,1,0,1,1,4,0,1,0,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,170,102,-1.7,1,0,0,1,4,0,1,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
70,159,65.9,-1.2,1,0,0,2,4,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
71,158,80,-1.8,1,0,1,2,4,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,174,50.9,-2.5,2,0,0,2,3,4,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
57,145.034,43.45414905,-1.9,1,0,0,2,7,0,1,1,1,1,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
64,160,64,-1.1,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,165,102,-0.3,1,1,0,3,6,0,1,0,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
53,159,67.5,-2.1,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
64,167,76,-1.3,1,0,0,2,4,0,1,0,2,1,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
56,168,121,1,1,1,0,2,4,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
70,160,88.1,-2.3,1,0,0,2,4,0,1,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
73,147,70,-2.3,1,0,0,2,2,0,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
59,168,66.5,-1.6,1,0,0,2,4,0,1,0,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
61,165,52,-1.5,1,0,0,1,6,0,1,1,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,172.7,81.5,-1.5,1,0,0,2,5,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
58,181,93.5,0.5,2,1,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,160,77,-1.1,1,0,1,2,3,0,1,0,3,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
81,154.94,63.5029318,-1.3,1,0,1,2,2,0,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,154,49.3,-2.2,1,0,0,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
